                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.2701,                 1.0576,                 1.4869,                0.89822,                0.88938,                0.92795,                 0.5581,                  1.367,                 0.7947,                 1.6841,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.2738,                 1.0354,                 1.4858,                0.90816,                0.88674,                 0.9313,                0.56541,                 1.3641,                0.75165,                  1.668,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.2472,                 1.0084,                 1.4631,                0.93651,                0.89922,                0.95293,                0.57539,                 1.3565,                0.73499,                 1.6439,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.2258,                0.96537,                 1.4466,                0.92189,                0.94146,                0.96187,                0.62153,                 1.2732,                0.66664,                 1.5816,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.2295,                0.95227,                 1.4511,                0.95281,                0.92058,                0.96463,                0.59644,                 1.3324,                 0.6899,                  1.656,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.2028,                0.92219,                 1.4207,                0.92328,                 0.9249,                0.95113,                 0.5942,                 1.2931,                0.67856,                 1.6189,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.1938,                0.89321,                 1.4129,                0.92474,                0.92759,                0.96244,                0.62087,                 1.2716,                 0.6472,                  1.582,               0.000526,               0.000526,               0.000526
                     18,                 1.1746,                 0.8863,                 1.4055,                0.93709,                  0.943,                0.96863,                0.62201,                 1.2589,                0.62076,                 1.5646,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.1696,                0.85633,                 1.3998,                0.95233,                0.95448,                0.97426,                0.64247,                 1.2357,                  0.594,                  1.551,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.1508,                0.84253,                 1.3885,                0.94192,                0.95368,                0.97257,                0.64161,                 1.2265,                 0.5894,                 1.5265,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.1525,                0.83754,                 1.3859,                0.95257,                0.94867,                0.97408,                0.65133,                  1.194,                0.58248,                 1.5095,             0.00050125,             0.00050125,             0.00050125
                     22,                  1.124,                0.82327,                 1.3713,                0.95527,                0.96062,                0.97928,                0.65367,                 1.1843,                0.57091,                 1.5046,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.1167,                0.81372,                 1.3652,                0.94846,                0.97662,                0.97578,                0.65273,                 1.1744,                0.55118,                 1.4974,             0.00048888,             0.00048888,             0.00048888
                     24,                  1.105,                0.77966,                 1.3531,                0.96422,                0.96394,                0.97816,                0.65487,                  1.169,                0.54919,                 1.4921,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.1015,                 0.7826,                  1.355,                0.96632,                0.96408,                0.98174,                 0.6581,                 1.1717,                0.54519,                 1.4921,              0.0004765,              0.0004765,              0.0004765
                     26,                 1.0917,                0.76629,                 1.3479,                0.94847,                0.96168,                0.98137,                0.66675,                 1.1304,                0.54123,                 1.4609,             0.00047031,             0.00047031,             0.00047031
                     27,                 1.0822,                0.75465,                 1.3454,                0.94123,                 0.9625,                0.98145,                0.65965,                 1.1611,                0.54445,                 1.4934,             0.00046413,             0.00046413,             0.00046413
                     28,                 1.0665,                0.75203,                 1.3268,                0.94774,                0.96381,                0.97965,                0.67326,                 1.1426,                0.53148,                 1.4761,             0.00045794,             0.00045794,             0.00045794
                     29,                 1.0502,                0.73551,                 1.3164,                0.95965,                0.96755,                0.98324,                0.67913,                 1.1006,                0.50811,                 1.4341,             0.00045175,             0.00045175,             0.00045175
                     30,                 1.0586,                0.73547,                 1.3287,                0.96891,                0.96263,                0.97843,                0.67362,                 1.1124,                0.51579,                  1.439,             0.00044556,             0.00044556,             0.00044556
                     31,                 1.0487,                0.72802,                 1.3172,                0.96246,                0.97475,                0.98396,                0.68532,                  1.097,                 0.4975,                 1.4255,             0.00043937,             0.00043937,             0.00043937
                     32,                 1.0451,                0.71015,                 1.3086,                0.96367,                0.97391,                0.98339,                0.68291,                 1.1209,                0.50177,                 1.4483,             0.00043319,             0.00043319,             0.00043319
                     33,                 1.0252,                0.70516,                 1.2989,                0.96727,                0.97592,                  0.987,                0.68644,                 1.1084,                0.50229,                 1.4328,               0.000427,               0.000427,               0.000427
                     34,                 1.0195,                0.69486,                 1.2964,                0.96559,                0.97035,                0.98449,                0.68952,                 1.1156,                0.49948,                 1.4345,             0.00042081,             0.00042081,             0.00042081
                     35,                 1.0233,                0.68385,                 1.3016,                0.96594,                0.97539,                0.98589,                 0.7053,                 1.0656,                0.47308,                 1.3917,             0.00041462,             0.00041462,             0.00041462
                     36,                 1.0051,                0.66955,                 1.2836,                0.97225,                0.98035,                0.98673,                 0.6985,                 1.0662,                0.47324,                 1.3916,             0.00040844,             0.00040844,             0.00040844
                     37,                      1,                0.67172,                 1.2784,                0.96589,                0.98269,                0.98816,                0.70669,                 1.0563,                0.47196,                 1.3901,             0.00040225,             0.00040225,             0.00040225
                     38,                0.99181,                 0.6568,                 1.2691,                0.96948,                0.97698,                0.98718,                0.71249,                 1.0229,                0.46277,                 1.3582,             0.00039606,             0.00039606,             0.00039606
                     39,                0.97168,                0.64817,                 1.2611,                0.97438,                0.97034,                0.98825,                0.71348,                 1.0317,                 0.4617,                 1.3669,             0.00038988,             0.00038988,             0.00038988
                     40,                0.97634,                0.64979,                 1.2659,                0.96611,                0.98137,                0.98916,                0.71972,                 1.0302,                0.45306,                 1.3619,             0.00038369,             0.00038369,             0.00038369
                     41,                0.97058,                0.64414,                 1.2679,                0.97637,                0.97395,                0.99025,                0.72462,                 1.0297,                0.45064,                 1.3603,              0.0003775,              0.0003775,              0.0003775
                     42,                0.96833,                0.64786,                 1.2574,                 0.9804,                0.97879,                0.98941,                0.71062,                 1.0467,                0.44799,                 1.3813,             0.00037131,             0.00037131,             0.00037131
                     43,                0.95041,                0.61874,                 1.2438,                 0.9775,                0.97846,                0.98884,                0.72158,                 1.0384,                0.45531,                 1.3762,             0.00036513,             0.00036513,             0.00036513
                     44,                 0.9572,                 0.6299,                 1.2503,                0.97218,                0.97636,                0.98794,                0.72509,                0.99855,                0.44834,                  1.343,             0.00035894,             0.00035894,             0.00035894
                     45,                0.94336,                0.61763,                 1.2438,                0.96568,                0.98333,                0.98825,                0.71985,                  1.003,                0.43875,                 1.3474,             0.00035275,             0.00035275,             0.00035275
                     46,                0.92746,                0.60967,                 1.2323,                0.97662,                0.97443,                0.98897,                0.72025,                  1.019,                0.43803,                 1.3622,             0.00034656,             0.00034656,             0.00034656
                     47,                0.92232,                0.59847,                  1.229,                0.97586,                0.97749,                0.98944,                0.71995,                 1.0111,                0.43688,                 1.3523,             0.00034038,             0.00034038,             0.00034038
                     48,                0.92194,                0.59542,                  1.227,                0.96957,                0.98439,                0.98811,                0.72754,                0.98574,                0.43124,                 1.3235,             0.00033419,             0.00033419,             0.00033419
                     49,                0.91821,                0.59844,                 1.2273,                0.97539,                0.98121,                0.99042,                0.74376,                0.96318,                0.41987,                 1.3088,               0.000328,               0.000328,               0.000328
                     50,                0.90583,                0.59012,                 1.2127,                0.97612,                0.97781,                0.98979,                0.73451,                0.97523,                0.42578,                 1.3202,             0.00032181,             0.00032181,             0.00032181
                     51,                 0.9011,                0.57824,                 1.2149,                0.97498,                0.98321,                0.98885,                0.73713,                0.96585,                0.42313,                 1.3154,             0.00031562,             0.00031562,             0.00031562
                     52,                0.90483,                0.58527,                 1.2224,                0.97388,                0.97864,                0.98932,                0.73511,                0.96638,                0.42021,                 1.3161,             0.00030944,             0.00030944,             0.00030944
                     53,                0.88849,                0.57672,                 1.2094,                0.97725,                0.98344,                0.99107,                0.74941,                0.97211,                0.40786,                  1.307,             0.00030325,             0.00030325,             0.00030325
                     54,                 0.8878,                0.56821,                 1.2071,                0.97156,                 0.9813,                0.99166,                0.74947,                0.94985,                0.40061,                 1.2988,             0.00029706,             0.00029706,             0.00029706
                     55,                0.88458,                 0.5696,                 1.1991,                0.97648,                0.98153,                  0.991,                0.75516,                0.94026,                 0.4033,                 1.2898,             0.00029088,             0.00029088,             0.00029088
                     56,                0.87162,                0.56235,                 1.1947,                0.97582,                0.98442,                0.99144,                0.75462,                 0.9364,                0.40274,                 1.2873,             0.00028469,             0.00028469,             0.00028469
                     57,                 0.8769,                0.56648,                 1.1966,                 0.9807,                0.98127,                 0.9902,                0.75174,                0.94154,                0.40394,                 1.2907,              0.0002785,              0.0002785,              0.0002785
                     58,                0.86703,                0.55427,                 1.1923,                0.98158,                0.98181,                0.98987,                0.75307,                0.91775,                0.39874,                  1.269,             0.00027231,             0.00027231,             0.00027231
                     59,                0.85974,                0.56075,                 1.1889,                0.97432,                0.98657,                0.99115,                0.75252,                 0.9171,                0.39984,                 1.2765,             0.00026613,             0.00026613,             0.00026613
                     60,                0.86745,                0.55287,                 1.1883,                0.98213,                0.98567,                0.99104,                0.75088,                0.92719,                0.39362,                 1.2735,             0.00025994,             0.00025994,             0.00025994
                     61,                0.85958,                0.53844,                 1.1859,                0.98107,                0.98715,                0.99125,                 0.7594,                0.90851,                0.38959,                 1.2704,             0.00025375,             0.00025375,             0.00025375
                     62,                0.84414,                 0.5331,                 1.1754,                0.98019,                0.98015,                0.99084,                0.75179,                0.91945,                0.39544,                 1.2772,             0.00024756,             0.00024756,             0.00024756
                     63,                 0.8418,                0.53348,                 1.1727,                0.97197,                0.99147,                0.99167,                0.75663,                0.90509,                0.38579,                 1.2655,             0.00024137,             0.00024137,             0.00024137
                     64,                0.83081,                0.52538,                 1.1692,                0.97949,                0.98651,                0.99206,                0.75953,                0.90707,                0.38867,                 1.2629,             0.00023519,             0.00023519,             0.00023519
                     65,                0.83414,                0.52819,                 1.1725,                0.98108,                 0.9884,                0.99131,                 0.7692,                0.89364,                0.38508,                 1.2564,               0.000229,               0.000229,               0.000229
                     66,                0.82613,                0.52315,                 1.1666,                 0.9771,                0.98509,                0.98973,                0.76481,                0.89687,                  0.382,                 1.2546,             0.00022281,             0.00022281,             0.00022281
                     67,                0.82375,                0.51708,                 1.1662,                0.98005,                 0.9854,                0.99008,                  0.763,                0.89574,                0.37611,                 1.2522,             0.00021662,             0.00021662,             0.00021662
                     68,                 0.8103,                0.51795,                 1.1613,                0.97954,                0.98412,                0.99237,                 0.7673,                0.88325,                0.38001,                 1.2416,             0.00021044,             0.00021044,             0.00021044
                     69,                0.80626,                0.50463,                 1.1529,                0.98105,                0.97787,                0.98972,                0.77073,                0.87583,                0.37732,                 1.2416,             0.00020425,             0.00020425,             0.00020425
                     70,                0.80499,                 0.5106,                 1.1562,                0.98142,                0.98279,                0.99126,                0.77009,                0.87976,                0.37314,                 1.2485,             0.00019806,             0.00019806,             0.00019806
                     71,                0.79922,                0.49668,                 1.1437,                0.98018,                0.98888,                0.99154,                0.76579,                0.87378,                0.36693,                 1.2497,             0.00019188,             0.00019188,             0.00019188
                     72,                0.78874,                0.49502,                 1.1459,                0.98159,                0.98742,                0.99114,                0.76972,                   0.87,                0.36724,                 1.2455,             0.00018569,             0.00018569,             0.00018569
                     73,                0.78975,                 0.4963,                 1.1414,                0.98457,                0.98509,                0.99087,                0.77341,                0.87067,                0.37201,                 1.2385,              0.0001795,              0.0001795,              0.0001795
                     74,                0.78854,                0.48993,                 1.1421,                0.97384,                0.98787,                0.98876,                0.77032,                0.86556,                0.36866,                 1.2339,             0.00017331,             0.00017331,             0.00017331
                     75,                0.78459,                0.49619,                  1.139,                0.97597,                0.98508,                0.98924,                0.77334,                0.86184,                0.37013,                 1.2299,             0.00016713,             0.00016713,             0.00016713
                     76,                0.77706,                0.48395,                 1.1379,                0.97892,                0.98849,                0.99054,                0.77162,                0.87451,                0.36812,                 1.2392,             0.00016094,             0.00016094,             0.00016094
                     77,                0.77469,                0.48538,                 1.1375,                0.97795,                0.98592,                0.98934,                0.77282,                0.85871,                0.36731,                  1.232,             0.00015475,             0.00015475,             0.00015475
                     78,                 0.7691,                0.48367,                 1.1371,                0.97795,                0.98818,                0.99067,                 0.7757,                0.85763,                0.36205,                  1.231,             0.00014856,             0.00014856,             0.00014856
                     79,                0.76195,                0.47493,                 1.1251,                0.97981,                0.98585,                0.98944,                0.77477,                0.85339,                0.36737,                 1.2267,             0.00014237,             0.00014237,             0.00014237
                     80,                0.77055,                0.47932,                 1.1327,                0.98277,                0.98406,                0.99079,                0.78079,                0.84965,                0.36099,                 1.2223,             0.00013619,             0.00013619,             0.00013619
                     81,                0.75498,                 0.4709,                 1.1228,                0.98174,                0.98236,                0.99007,                0.77634,                0.85093,                0.36319,                  1.229,                0.00013,                0.00013,                0.00013
                     82,                0.75102,                   0.47,                 1.1235,                0.97874,                0.98715,                0.99056,                0.77802,                0.84041,                0.35833,                 1.2199,             0.00012381,             0.00012381,             0.00012381
                     83,                0.74674,                0.46001,                 1.1183,                0.97854,                0.98592,                0.99049,                0.77905,                 0.8351,                0.35762,                 1.2156,             0.00011763,             0.00011763,             0.00011763
                     84,                0.73956,                0.46042,                 1.1174,                0.98038,                 0.9841,                0.99134,                0.77941,                0.83423,                0.35826,                 1.2165,             0.00011144,             0.00011144,             0.00011144
                     85,                0.73556,                0.46307,                 1.1147,                0.98126,                  0.985,                0.99116,                0.78345,                0.82984,                0.35316,                 1.2134,             0.00010525,             0.00010525,             0.00010525
                     86,                0.74186,                0.46088,                 1.1135,                0.97526,                0.99048,                0.99118,                0.78527,                 0.8286,                0.35333,                 1.2133,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.73269,                0.45601,                 1.1098,                0.97805,                0.98856,                0.99139,                0.78533,                0.82709,                0.35096,                 1.2126,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.72569,                0.45384,                 1.1076,                0.97665,                0.99173,                0.99122,                 0.7824,                0.82576,                0.34917,                 1.2115,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.72072,                0.44554,                 1.1098,                0.98257,                0.98676,                0.99054,                0.78253,                 0.8288,                0.34655,                 1.2153,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.71688,                0.44615,                 1.1012,                0.97979,                0.98859,                 0.9912,                0.78609,                0.82858,                0.34727,                 1.2178,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.64459,                0.33161,                 1.0842,                0.98375,                0.98689,                0.99115,                 0.7851,                0.82699,                0.35448,                 1.2069,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.62338,                0.31602,                 1.0633,                 0.9843,                0.98857,                0.99142,                0.78724,                0.82497,                0.34882,                 1.2047,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.60951,                0.30947,                 1.0576,                0.98447,                0.98665,                0.99157,                0.78802,                0.81928,                0.34928,                 1.2064,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                 0.6028,                0.30752,                  1.053,                0.98622,                0.98476,                0.99143,                0.78873,                0.81702,                0.34661,                 1.2061,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                 0.5943,                0.30096,                 1.0482,                0.98157,                0.98861,                0.99174,                0.79186,                  0.811,                 0.3439,                 1.2033,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.59112,                0.29903,                  1.044,                0.98067,                  0.991,                0.99169,                0.79405,                0.80547,                0.34199,                 1.1993,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.58888,                0.29585,                 1.0399,                0.97953,                 0.9917,                0.99186,                0.79733,                0.80396,                 0.3418,                  1.198,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.58151,                0.29373,                 1.0416,                0.98049,                 0.9907,                 0.9917,                0.79866,                0.80194,                0.34083,                 1.1952,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.57403,                0.29433,                 1.0321,                0.98008,                0.99076,                0.99159,                  0.797,                0.80137,                0.33957,                  1.195,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                0.56885,                0.29048,                 1.0332,                0.98094,                0.99007,                0.99154,                0.79867,                0.80011,                0.33744,                 1.1935,             1.2438e-05,             1.2438e-05,             1.2438e-05
